frame=   0 | y=1.20 | obs0_x=-0.08
frame=   1 | y=1.20 | obs0_x=-0.17
frame=   2 | y=0.00 | obs0_x=-0.25
frame=   3 | y=0.00 | obs0_x=-0.33
frame=   4 | y=0.00 | obs0_x=-0.42
frame=   5 | y=1.20 | obs0_x=-0.50
frame=   6 | y=1.20 | obs0_x=-0.58
frame=   7 | y=0.00 | obs0_x=-0.67
frame=   8 | y=0.00 | obs0_x=-0.75
frame=   9 | y=0.00 | obs0_x=-0.83
frame=  10 | y=0.00 | obs0_x=-0.92
frame=  11 | y=0.00 | obs0_x=-1.00
frame=  12 | y=0.00 | obs0_x=-1.08
frame=  13 | y=1.20 | obs0_x=-1.17
frame=  14 | y=1.20 | obs0_x=-1.25
frame=  15 | y=0.00 | obs0_x=-1.33
frame=  16 | y=0.00 | obs0_x=-1.42
frame=  17 | y=1.20 | obs0_x=-1.50
frame=  18 | y=0.00 | obs0_x=-1.58
frame=  19 | y=1.20 | obs0_x=-1.67
frame=  20 | y=0.00 | obs0_x=-1.75
frame=  21 | y=0.00 | obs0_x=-1.83
frame=  22 | y=0.00 | obs0_x=-1.92
frame=  23 | y=0.00 | obs0_x=-2.00
frame=  24 | y=0.00 | obs0_x=-2.08
frame=  25 | y=0.00 | obs0_x=-2.17
frame=  26 | y=1.20 | obs0_x=-2.25
frame=  27 | y=0.00 | obs0_x=-2.33
frame=  28 | y=0.00 | obs0_x=-2.42
frame=  29 | y=0.00 | obs0_x=-2.50
frame=  30 | y=0.00 | obs0_x=-2.58
frame=  31 | y=0.00 | obs0_x=-2.67
frame=  32 | y=0.00 | obs0_x=-2.75
frame=  33 | y=1.20 | obs0_x=-2.83
frame=  34 | y=0.00 | obs0_x=-2.92
frame=  35 | y=0.00 | obs0_x=-3.00
frame=  36 | y=0.00 | obs0_x=-3.08
frame=  37 | y=0.00 | obs0_x=-3.17
frame=  38 | y=0.00 | obs0_x=-3.25
frame=  39 | y=0.00 | obs0_x=-3.33
frame=  40 | y=1.20 | obs0_x=-3.42
frame=  41 | y=0.00 | obs0_x=-3.50
frame=  42 | y=0.00 | obs0_x=-3.58
frame=  43 | y=0.00 | obs0_x=-3.67
frame=  44 | y=0.00 | obs0_x=-3.75
frame=  45 | y=1.20 | obs0_x=-3.83
frame=  46 | y=0.00 | obs0_x=-3.92
frame=  47 | y=0.00 | obs0_x=-4.00
frame=  48 | y=0.00 | obs0_x=-4.08
frame=  49 | y=0.00 | obs0_x=-4.17
frame=  50 | y=0.00 | obs0_x=-4.25
frame=  51 | y=0.00 | obs0_x=-4.33
frame=  52 | y=1.20 | obs0_x=-4.42
frame=  53 | y=0.00 | obs0_x=-4.50
frame=  54 | y=0.00 | obs0_x=-4.58
frame=  55 | y=1.20 | obs0_x=-4.67
frame=  56 | y=0.00 | obs0_x=-4.75
frame=  57 | y=0.00 | obs0_x=-4.83
frame=  58 | y=0.00 | obs0_x=-4.92
frame=  59 | y=1.20 | obs0_x=-5.00
frame=  60 | y=0.00 | obs0_x=-5.08
frame=  61 | y=0.00 | obs0_x=-5.17
frame=  62 | y=0.00 | obs0_x=-5.25
frame=  63 | y=0.00 | obs0_x=-5.33
frame=  64 | y=0.00 | obs0_x=-5.42
frame=  65 | y=0.00 | obs0_x=-5.50
frame=  66 | y=0.00 | obs0_x=-5.58
frame=  67 | y=1.20 | obs0_x=-5.67
frame=  68 | y=0.00 | obs0_x=-5.75
frame=  69 | y=1.20 | obs0_x=-5.83
frame=  70 | y=0.00 | obs0_x=-5.92
frame=  71 | y=0.00 | obs0_x=-6.00
frame=  72 | y=0.00 | obs0_x=-6.08
frame=  73 | y=0.00 | obs0_x=-6.17
frame=  74 | y=0.00 | obs0_x=-6.25
frame=  75 | y=0.00 | obs0_x=-6.33
frame=  76 | y=0.00 | obs0_x=-6.42
frame=  77 | y=1.20 | obs0_x=-6.50
frame=  78 | y=0.00 | obs0_x=-6.58
frame=  79 | y=0.00 | obs0_x=-6.67
frame=  80 | y=0.00 | obs0_x=-6.75
frame=  81 | y=1.20 | obs0_x=-6.83
frame=  82 | y=1.20 | obs0_x=-6.92
frame=  83 | y=0.00 | obs0_x=-7.00
frame=  84 | y=0.00 | obs0_x=-7.08
frame=  85 | y=0.00 | obs0_x=-7.17
frame=  86 | y=0.00 | obs0_x=-7.25
frame=  87 | y=0.00 | obs0_x=-7.33
frame=  88 | y=0.00 | obs0_x=-7.42
frame=  89 | y=0.00 | obs0_x=-7.50
frame=  90 | y=1.20 | obs0_x=-7.58
frame=  91 | y=0.00 | obs0_x=-7.67
frame=  92 | y=0.00 | obs0_x=-7.75
frame=  93 | y=0.00 | obs0_x=-7.83
frame=  94 | y=0.00 | obs0_x=-7.92
frame=  95 | y=0.00 | obs0_x=-8.00
frame=  96 | y=0.00 | obs0_x=-8.08
frame=  97 | y=0.00 | obs0_x=-8.17
frame=  98 | y=0.00 | obs0_x=-8.25
frame=  99 | y=0.00 | obs0_x=-8.33
frame= 100 | y=0.00 | obs0_x=-8.42
frame= 101 | y=0.00 | obs0_x=-8.50
frame= 102 | y=0.00 | obs0_x=-8.58
frame= 103 | y=1.20 | obs0_x=-8.67
frame= 104 | y=1.20 | obs0_x=-8.75
frame= 105 | y=0.00 | obs0_x=-8.83
frame= 106 | y=0.00 | obs0_x=-8.92
frame= 107 | y=1.20 | obs0_x=-9.00
